Dataset,Experiment_Type,Condition,Accuracy,Precision,Recall,F1_Score,Training_Time(s),Test_Time(s)
CTU,Activation,ELU,0.9388493475682088,0.9409353574876045,0.9388493475682088,0.9394368046510794,88.64660477638245,0.11109447479248047
CTU,Activation,RELU,0.9161328588374852,0.9159147273050046,0.9161328588374852,0.9150555623256867,41.50608825683594,0.17455029487609863
CTU,Activation,SIGMOID,0.8044483985765124,0.801561361919856,0.8044483985765124,0.8019901956515847,163.18850898742676,0.22011685371398926
CTU,Attention,With Cbam,0.9417556346381969,0.9414166212875553,0.9417556346381969,0.9408911838229796,128.09391856193542,0.1607356071472168
CTU,Attention,Without Attention,0.9215302491103203,0.9294441210722921,0.9215302491103203,0.9238845851315182,18.47938847541809,0.09428524971008301
USTC,Activation,ELU,0.935762397721622,0.9411944412301185,0.935762397721622,0.9352393559003707,140.90118646621704,0.1279909610748291
USTC,Activation,RELU,0.9189005921974595,0.9206235172041267,0.9189005921974595,0.9180713787864334,52.776583194732666,0.22647714614868164
USTC,Activation,SIGMOID,0.8227024094751594,0.8197514304727208,0.8227024094751594,0.8207467011596276,110.21181321144104,0.1939098834991455
USTC,Attention,With Cbam,0.9390172234528277,0.9415803158943635,0.9390172234528277,0.9387048091646708,161.0458996295929,0.16949939727783203
USTC,Attention,Without Attention,0.9314226300800145,0.9367130867552605,0.9314226300800145,0.9311360514361039,46.93026518821716,0.10663628578186035
